Title,Artist,Type
Great Balls Of Fire,Jerry Lee Lewis,Rock!
Green Green Grass Of Home,Tom Jones,Banger!
Guantanamera,Julio Iglesias,Happy!
Hallelujah,Jeff Buckley,Soulful!
Happy New Year,ABBA,Banger!
Happy! ,Pharrell Williams,Happy!
Have You Ever Seen The Rain?,Creedence Clearwater Revival,Rock!
He Stopped Loving Her Today,George Jones,Ballad!
Hello,Lionel Richie,Ballad!
Hello,Adele,Ballad!
Here Comes The Sun,The Beatles,Happy!
Here Without You,3 Doors Down,Soulful!
Hero,Mariah Carey,Ballad!
Heroes,David Bowie,Banger!
Hey Jude,The Beatles,Banger!
Hey Ya!,OutKast,Happy!
Highway To Hell,AC/DC,Rock!
Hit The Road Jack,Ray Charles,Happy!
Hold The Line,Toto,Banger!
Honesty,Billy Joel,Banger!
Hopelessly Devoted To You,Grease,Soulful!
Hot Stuff,Donna Summer,Happy!
Hotel California,The Eagles,Rock!
Hound Dog,Elvis Presley,Rock!
House Of The Rising Sun,The Animals,Banger!
I Am A Man Of Constant Sorrow,Soggy Bottom Boys,Banger!
I Don't Want To Miss A Thing,Aerosmith,Banger!
I Found A Boy,Adele,Ballad!
I Got You (I Feel Good),James Brown,Happy!
I got you babe,Sonny and Cher,Duet!
I Gotta Feeling,Black Eyed Peas,Happy!
I Have Nothing,Whitney Houston,Ballad!
I Heard It Through The Grapevine,Marvin Gaye,Banger!
I Just Called To Say I Love You,Stevie Wonder,Banger!
I Love Rock 'N Roll,Joan Jett,Rock!
I Saw Her Standing There,The Beatles,Banger!
I See Fire,Ed Sheeran,Soulful!
I Turn To You,Christina Aguilera,Soulful!
I Walk the Line,Johnny Cash,Banger!
I Wanna Dance With Somebody,Whitney Houston,Happy!
I want it that way,Backstreet Boys,Happy!
I Want To Break Free,Queen,Rock!
I Want To Know What Love Is,Foreigner,Ballad!
I Want You (She's So Heavy),The Beatles,Banger!
I Want You Back,The Jackson 5,Happy!
I Will Survive,Gloria Gaynor,Banger!
I'd Rather Go Blind,Etta James,Soulful!
I'm A Believer,The Monkees,Happy!
I'm A Fool To Want You,Billie Holiday,Soulful!
I'm So Excited,The Pointer Sisters,Happy!
I'm Yours,Jason Mraz,Ballad!
I've Got You Under My Skin,Frank Sinatra,Banger!
Ice Ice Baby,Vanilla Ice,Happy!
If I Ain't Got You,Alicia Keys,Soulful
If I Could Turn Back Time,Cher,Banger!
If I Were A Boy,Beyoncé,Soulful!
If This World Were Mine,Luther Vandross,Soulful!
If Tomorrow Never Comes,Garth Brooks,Soulful!
In The Ghetto,Elvis Presley,Banger!
Iris,Goo Goo Dolls,Soulful!
Ironic,Alanis Morisette,Happy!
Islands in the Stream,Dolly Parton,Banger!
Isn't She Lovely,Stevie Wonder,Happy!
It's My Life,Bon Jovi,Rock!
It's Not Unusual,Tom Jones,Banger!
It's Raining Men,Weather Girls,Happy!
Jackson,Johnny Cash,Banger!
Jai Ho!,Pussycat Dolls,Happy!
Jailbreak,AC/DC,Rock!
Jingle Bell Rock,Bobby Helms,Banger!
Jolene,Dolly Parton,Banger!
Just The Way You Are,Billy Joel,Soulful!
Karma Chameleon,Culture Club,Happy!
Kasmir,Led Zeppelin,Rock!
Killing In The Name,Rage Against The Machine,Rock!
Killing Me Softly With His Song,Roberta Flack,Soulful!
Kiss From A Rose,Seal,Soulful!
Kiss Of Life,Sade,Soulful!
Knockin' On Heaven's Door,Guns N' Roses,Rock!
Kryptonite,3 Doors Down,Rock!
La Bamba,Los Lobos,Happy!
La camisa negra,Juanes,Banger!
La vie en rose,Edith Piaf,Banger!
Lady Marmalade,Moulin Rouge!,Happy!
Last Christmas,Wham!,Banger!
Lean On,Major Lazer,Happy!
Lemon Tree,Fool's Garden,Banger!
Let Her Go,Passenger,Soulful!
Let It Be,The Beatles,Banger!
Let It Go,Idina Menzel,Happy!
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Banger!
Let's Dance,David Bowie,Happy!
Let's Get Loud,Jennifer Lopez,Happy!
Like a Prayer,Madonna,Banger!
Like a Stone,Audioslave,Rock!
Like A Virgin,Madonna,Banger!
Livin' La Vida Loca,Ricky Martin,Happy!
Livin' On A Prayer,Bon Jovi,Banger!
Living Next Door To Alice,Smokie,Fun!
Love Story,Taylor Swift,Banger!
Lovesong,Adele,Soulful!
Mack The Knife,Bobby Darin,Banger!
Make It To Me,Sam Smith,Soulful!
Mambo No. 5,Lou Bega,Happy!
Mamma Mia,ABBA,Banger!
Marry You,Bruno Mars,Ballad!
Memory,Barbra Streisand,Ballad!
Mercy,Duffy,Soulful!
Message In A Bottle,The Police,Banger!
Moon River,Andy Williams,Soulful!
Moves Like Jagger,Maroon 5,Happy!
Ms. Jackson,Outkast,Happy!
Mustang Sally,Wilson Pickett,Banger!
My Baby Just Cares For Me,Nina Simone,Soulful!
My Favorite Things,The Sound Of Music,Soulful!
My Girl,The Temptations,Soulful!
My Heart Will Go On,Céline Dion,Ballad!
My Immortal,Evanescence,Ballad!
My way,Frank Sinatra,Banger!
Nature Boy,George Benson,Soulful!
Nemo,Nightwish,Rock!
"New York, New York",Frank Sinatra,Banger!
"No Woman, No Cry",Bob Marley,Banger!
"Non, je ne regrette rien",Edith Piaf,Banger!
Oh Happy Day,Sister Act,Happy!
On The Street Where You Live,My Fair Lady,Banger!
One,U2,Rock!
One Moment In Time,Whitney Houston,Souful!
